draw_id,selection_seed,row_order,sample_id,point_id,Lon,Lat,Year,Month,split,target_original_row_index,veg_class
EXPLAINED_E2,202607271002,0,43587,172,94.9586628961,33.0692313966,2025,4,test,291,Veg_Meadow_499
EXPLAINED_E2,202607271002,1,43566,172,94.9586628961,33.0692313966,2023,7,test,270,Veg_Meadow_499
EXPLAINED_E2,202607271002,2,43548,172,94.9586628961,33.0692313966,2022,1,test,252,Veg_Meadow_499
EXPLAINED_E2,202607271002,3,43583,172,94.9586628961,33.0692313966,2024,12,test,287,Veg_Meadow_499
EXPLAINED_E2,202607271002,4,18866,074,95.1068849179,32.9075346455,2023,3,test,266,Veg_Meadow_497
EXPLAINED_E2,202607271002,5,18895,074,95.1068849179,32.9075346455,2025,8,test,295,Veg_Meadow_497
EXPLAINED_E2,202607271002,6,18861,074,95.1068849179,32.9075346455,2022,10,test,261,Veg_Meadow_497
EXPLAINED_E2,202607271002,7,18884,074,95.1068849179,32.9075346455,2024,9,test,284,Veg_Meadow_497
EXPLAINED_E2,202607271002,8,27457,108,94.4735726426,33.7744088947,2025,2,test,289,Veg_Meadow_497
EXPLAINED_E2,202607271002,9,27425,108,94.4735726426,33.7744088947,2022,6,test,257,Veg_Meadow_497
EXPLAINED_E2,202607271002,10,27454,108,94.4735726426,33.7744088947,2024,11,test,286,Veg_Meadow_497
EXPLAINED_E2,202607271002,11,27436,108,94.4735726426,33.7744088947,2023,5,test,268,Veg_Meadow_497
EXPLAINED_E2,202607271002,12,58927,233,94.6846767344,33.756442589,2022,8,test,259,Veg_Sparse
EXPLAINED_E2,202607271002,13,58938,233,94.6846767344,33.756442589,2023,7,test,270,Veg_Sparse
EXPLAINED_E2,202607271002,14,58965,233,94.6846767344,33.756442589,2025,10,test,297,Veg_Sparse
EXPLAINED_E2,202607271002,15,58949,233,94.6846767344,33.756442589,2024,6,test,281,Veg_Sparse
EXPLAINED_E2,202607271002,16,19119,075,94.3253506208,33.1725376543,2023,4,test,267,Veg_Meadow_497
EXPLAINED_E2,202607271002,17,19115,075,94.3253506208,33.1725376543,2022,12,test,263,Veg_Meadow_497
EXPLAINED_E2,202607271002,18,19140,075,94.3253506208,33.1725376543,2025,1,test,288,Veg_Meadow_497
EXPLAINED_E2,202607271002,19,19129,075,94.3253506208,33.1725376543,2024,2,test,277,Veg_Meadow_497
EXPLAINED_E2,202607271002,20,37256,147,93.6246646991,33.5498300737,2022,9,test,260,Veg_Meadow_497
EXPLAINED_E2,202607271002,21,37288,147,93.6246646991,33.5498300737,2025,5,test,292,Veg_Meadow_497
EXPLAINED_E2,202607271002,22,37270,147,93.6246646991,33.5498300737,2023,11,test,274,Veg_Meadow_497
EXPLAINED_E2,202607271002,23,37274,147,93.6246646991,33.5498300737,2024,3,test,278,Veg_Meadow_497
EXPLAINED_E2,202607271002,24,60687,240,93.7100046511,33.2803354884,2022,4,test,255,Veg_Sparse
EXPLAINED_E2,202607271002,25,60710,240,93.7100046511,33.2803354884,2024,3,test,278,Veg_Sparse
EXPLAINED_E2,202607271002,26,60720,240,93.7100046511,33.2803354884,2025,1,test,288,Veg_Sparse
EXPLAINED_E2,202607271002,27,60707,240,93.7100046511,33.2803354884,2023,12,test,275,Veg_Sparse
EXPLAINED_E2,202607271002,28,8022,031,94.0199234242,33.051265091,2022,7,test,258,Veg_Meadow_497
EXPLAINED_E2,202607271002,29,8045,031,94.0199234242,33.051265091,2024,6,test,281,Veg_Meadow_497
EXPLAINED_E2,202607271002,30,8061,031,94.0199234242,33.051265091,2025,10,test,297,Veg_Meadow_497
EXPLAINED_E2,202607271002,31,8035,031,94.0199234242,33.051265091,2023,8,test,271,Veg_Meadow_497
EXPLAINED_E2,202607271002,32,2744,010,95.5605341364,32.8221946935,2023,9,test,272,Veg_Coniferous
EXPLAINED_E2,202607271002,33,2725,010,95.5605341364,32.8221946935,2022,2,test,253,Veg_Coniferous
EXPLAINED_E2,202607271002,34,2758,010,95.5605341364,32.8221946935,2024,11,test,286,Veg_Coniferous
EXPLAINED_E2,202607271002,35,2764,010,95.5605341364,32.8221946935,2025,5,test,292,Veg_Coniferous
EXPLAINED_E2,202607271002,36,40811,161,94.6442525466,33.2444028771,2024,12,test,287,Veg_Meadow_497
EXPLAINED_E2,202607271002,37,40815,161,94.6442525466,33.2444028771,2025,4,test,291,Veg_Meadow_497
EXPLAINED_E2,202607271002,38,40782,161,94.6442525466,33.2444028771,2022,7,test,258,Veg_Meadow_497
EXPLAINED_E2,202607271002,39,40788,161,94.6442525466,33.2444028771,2023,1,test,264,Veg_Meadow_497
EXPLAINED_E2,202607271002,40,39056,154,95.0709523066,33.2803354884,2025,9,test,296,Veg_Meadow_497
EXPLAINED_E2,202607271002,41,39033,154,95.0709523066,33.2803354884,2023,10,test,273,Veg_Meadow_497
EXPLAINED_E2,202607271002,42,39017,154,95.0709523066,33.2803354884,2022,6,test,257,Veg_Meadow_497
EXPLAINED_E2,202607271002,43,39038,154,95.0709523066,33.2803354884,2024,3,test,278,Veg_Meadow_497
EXPLAINED_E2,202607271002,44,1735,006,95.6368909356,32.7503294708,2023,8,test,271,Veg_Coniferous
EXPLAINED_E2,202607271002,45,1745,006,95.6368909356,32.7503294708,2024,6,test,281,Veg_Coniferous
EXPLAINED_E2,202607271002,46,1754,006,95.6368909356,32.7503294708,2025,3,test,290,Veg_Coniferous
EXPLAINED_E2,202607271002,47,1716,006,95.6368909356,32.7503294708,2022,1,test,252,Veg_Coniferous
EXPLAINED_E2,202607271002,48,2010,007,95.695281429,32.7054137066,2025,7,test,294,Veg_Coniferous
