"point_id","fold_id"
"000","fold_5"
"001","fold_5"
"002","fold_5"
"003","fold_5"
"004","fold_5"
"005","fold_5"
"006","fold_5"
"007","fold_5"
"008","fold_5"
"009","fold_5"
"010","fold_5"
"011","fold_5"
"012","fold_5"
"013","fold_5"
"014","fold_5"
"015","fold_5"
"016","fold_5"
"017","fold_5"
"018","fold_5"
"019","fold_5"
"020","fold_4"
"021","fold_5"
"022","fold_5"
"023","fold_5"
"024","fold_4"
"025","fold_5"
"026","fold_5"
"027","fold_5"
"028","fold_4"
"029","fold_5"
"030","fold_2"
"031","fold_2"
"032","fold_4"
"033","fold_2"
"034","fold_3"
"035","fold_2"
"036","fold_4"
"037","fold_4"
"038","fold_4"
"039","fold_4"
"040","fold_1"
"041","fold_4"
"042","fold_3"
"043","fold_4"
"044","fold_4"
"045","fold_3"
"046","fold_4"
"047","fold_4"
"048","fold_1"
"049","fold_1"
"050","fold_3"
"051","fold_4"
"052","fold_2"
"053","fold_5"
"054","fold_4"
"055","fold_1"
"056","fold_4"
"057","fold_4"
"058","fold_4"
"059","fold_4"
"060","fold_3"
"061","fold_3"
"062","fold_4"
"063","fold_3"
"064","fold_3"
"065","fold_2"
"066","fold_5"
"067","fold_4"
"068","fold_4"
"069","fold_5"
"070","fold_4"
"071","fold_2"
"072","fold_4"
"073","fold_3"
"074","fold_4"
"075","fold_2"
"076","fold_5"
"077","fold_2"
"078","fold_3"
"079","fold_1"
"080","fold_4"
"081","fold_3"
"082","fold_4"
"083","fold_3"
"084","fold_3"
"085","fold_5"
"086","fold_1"
"087","fold_3"
"088","fold_4"
"089","fold_5"
"090","fold_3"
"091","fold_3"
"092","fold_2"
"093","fold_2"
"094","fold_4"
"095","fold_4"
"096","fold_4"
"097","fold_3"
"098","fold_5"
"099","fold_4"
"100","fold_2"
"101","fold_1"
"102","fold_4"
"103","fold_4"
"104","fold_5"
"105","fold_4"
"106","fold_2"
"107","fold_3"
"108","fold_3"
"109","fold_2"
"110","fold_1"
"111","fold_2"
"112","fold_5"
"113","fold_2"
"114","fold_4"
"115","fold_2"
"116","fold_4"
"117","fold_5"
"118","fold_5"
"119","fold_2"
"120","fold_2"
"121","fold_5"
"122","fold_2"
"123","fold_3"
"124","fold_4"
"125","fold_2"
"126","fold_3"
"127","fold_3"
"128","fold_3"
"129","fold_1"
"130","fold_4"
"131","fold_4"
"132","fold_2"
"133","fold_1"
"134","fold_1"
"135","fold_1"
"136","fold_2"
"137","fold_1"
"138","fold_4"
"139","fold_3"
"140","fold_4"
"141","fold_3"
"142","fold_4"
"143","fold_3"
"144","fold_4"
"145","fold_4"
"146","fold_2"
"147","fold_1"
"148","fold_4"
"149","fold_5"
"150","fold_1"
"151","fold_4"
"152","fold_1"
"153","fold_2"
"154","fold_4"
"155","fold_4"
"156","fold_5"
"157","fold_4"
"158","fold_4"
"159","fold_4"
"160","fold_4"
"161","fold_4"
"162","fold_3"
"163","fold_3"
"164","fold_2"
"165","fold_4"
"166","fold_4"
"167","fold_4"
"168","fold_1"
"169","fold_2"
"170","fold_3"
"171","fold_5"
"172","fold_4"
"173","fold_5"
"174","fold_5"
"175","fold_5"
"176","fold_5"
"177","fold_5"
"178","fold_5"
"179","fold_5"
"180","fold_5"
"181","fold_5"
"182","fold_5"
"183","fold_4"
"184","fold_4"
"185","fold_4"
"186","fold_1"
"187","fold_1"
"188","fold_1"
"189","fold_4"
"190","fold_1"
"191","fold_1"
"192","fold_1"
"193","fold_1"
"194","fold_2"
"195","fold_1"
"196","fold_2"
"197","fold_3"
"198","fold_1"
"199","fold_1"
"200","fold_1"
"201","fold_4"
"202","fold_1"
"203","fold_3"
"204","fold_2"
"205","fold_1"
"206","fold_1"
"207","fold_1"
"208","fold_1"
"209","fold_1"
"210","fold_1"
"211","fold_2"
"212","fold_1"
"213","fold_2"
"214","fold_3"
"215","fold_5"
"216","fold_2"
"217","fold_3"
"218","fold_4"
"219","fold_4"
"220","fold_4"
"221","fold_5"
"222","fold_5"
"223","fold_2"
"224","fold_2"
"225","fold_4"
"226","fold_5"
"227","fold_2"
"228","fold_4"
"229","fold_4"
"230","fold_4"
"231","fold_2"
"232","fold_4"
"233","fold_3"
"234","fold_4"
"235","fold_2"
"236","fold_4"
"237","fold_2"
"238","fold_2"
"239","fold_5"
"240","fold_2"
"241","fold_2"
"242","fold_4"
"243","fold_5"
"244","fold_5"
"245","fold_2"
"246","fold_2"
