draw_id,selection_seed,row_order,sample_id,point_id,Lon,Lat,Year,Month,split,target_original_row_index,veg_class
BG512_D1,202607275121,0,34421,136,94.1367044111,33.0647398202,2017,6,train,197,Veg_Meadow_497
BG512_D1,202607275121,1,30087,119,94.2175527867,33.2039786893,2013,4,train,147,Veg_Meadow_497
BG512_D1,202607275121,2,14932,059,94.9406965904,32.8311778464,2010,5,train,112,Veg_Meadow_497
BG512_D1,202607275121,3,56468,224,94.0917886469,33.051265091,2006,9,train,68,Veg_Sparse
BG512_D1,202607275121,4,7935,031,94.0199234242,33.051265091,2015,4,train,171,Veg_Meadow_497
BG512_D1,202607275121,5,27294,108,94.4735726426,33.7744088947,2011,7,train,126,Veg_Meadow_497
BG512_D1,202607275121,6,18497,073,94.5544210182,33.7339847069,2013,6,train,149,Veg_Meadow_497
BG512_D1,202607275121,7,52212,207,94.0783139176,33.6216952964,2009,1,train,96,Veg_Meadow_504
BG512_D1,202607275121,8,9970,039,94.6846767344,33.2893186413,2016,11,train,190,Veg_Meadow_497
BG512_D1,202607275121,9,38680,153,94.2310275159,33.2174534185,2015,5,train,172,Veg_Meadow_497
BG512_D1,202607275121,10,33564,133,93.5977152406,33.4330490867,2009,1,train,96,Veg_Meadow_497
BG512_D1,202607275121,11,60880,241,94.1367044111,33.3207596762,2017,5,train,196,Veg_Sparse
BG512_D1,202607275121,12,41112,163,94.3792495378,33.7294931305,2008,1,train,84,Veg_Meadow_497
BG512_D1,202607275121,13,38809,154,95.0709523066,33.2803354884,2005,2,train,49,Veg_Meadow_497
BG512_D1,202607275121,14,57014,226,95.8704529094,32.7548210472,2010,3,train,110,Veg_Sparse
BG512_D1,202607275121,15,19517,077,94.5139968304,33.2084702657,2014,6,train,161,Veg_Meadow_497
BG512_D1,202607275121,16,57261,227,93.9705160835,33.3162680998,2009,10,train,105,Veg_Sparse
BG512_D1,202607275121,17,59492,236,94.8463734855,32.8266862699,2006,9,train,68,Veg_Sparse
BG512_D1,202607275121,18,51759,205,94.0872970705,33.671102637,2013,4,train,147,Veg_Meadow_504
BG512_D1,202607275121,19,9915,039,94.6846767344,33.2893186413,2012,4,train,135,Veg_Meadow_497
